num_jobs,ops_per_job,num_machines,instance_id,total_operations,instance_name,makespan,solve_time,status,solver
20,10,10,17,200,J20_O10_M10_I17,1578,0.01958760000707116,success,DispatchingRule
20,10,10,18,200,J20_O10_M10_I18,1523,0.014806099992711097,success,DispatchingRule
20,10,10,19,200,J20_O10_M10_I19,1480,0.01780200000212062,success,DispatchingRule
20,10,10,20,200,J20_O10_M10_I20,1349,0.02346120000584051,success,DispatchingRule
20,10,10,21,200,J20_O10_M10_I21,1410,0.014790699991863221,success,DispatchingRule
20,10,10,22,200,J20_O10_M10_I22,1683,0.015456200009793974,success,DispatchingRule
20,10,10,23,200,J20_O10_M10_I23,1503,0.018097399995895103,success,DispatchingRule
20,10,10,24,200,J20_O10_M10_I24,1504,0.018196199991507456,success,DispatchingRule
20,10,10,25,200,J20_O10_M10_I25,1346,0.01616430000285618,success,DispatchingRule
20,10,10,26,200,J20_O10_M10_I26,1837,0.01388050000241492,success,DispatchingRule
20,10,10,27,200,J20_O10_M10_I27,1434,0.015824500005692244,success,DispatchingRule
20,10,10,28,200,J20_O10_M10_I28,1385,0.019211200007703155,success,DispatchingRule
20,10,10,29,200,J20_O10_M10_I29,1451,0.014345500007038936,success,DispatchingRule
20,10,20,0,200,J20_O10_M20_I0,1101,0.018810599998687394,success,DispatchingRule
20,10,20,1,200,J20_O10_M20_I1,1054,0.014605000003939494,success,DispatchingRule
20,10,20,2,200,J20_O10_M20_I2,1019,0.016037599998526275,success,DispatchingRule
20,10,20,3,200,J20_O10_M20_I3,1052,0.02250360000471119,success,DispatchingRule
20,10,20,4,200,J20_O10_M20_I4,1200,0.01834979999694042,success,DispatchingRule
20,10,20,5,200,J20_O10_M20_I5,1007,0.018232499991427176,success,DispatchingRule
20,10,20,6,200,J20_O10_M20_I6,1310,0.014545099998940714,success,DispatchingRule
20,10,20,7,200,J20_O10_M20_I7,1037,0.01962160000402946,success,DispatchingRule
20,10,20,8,200,J20_O10_M20_I8,1084,0.01658559999486897,success,DispatchingRule
20,10,20,9,200,J20_O10_M20_I9,1084,0.014432900003157556,success,DispatchingRule
20,10,20,10,200,J20_O10_M20_I10,1132,0.017039400001522154,success,DispatchingRule
20,10,20,11,200,J20_O10_M20_I11,1017,0.01466709999658633,success,DispatchingRule
20,10,20,12,200,J20_O10_M20_I12,992,0.016801600009785034,success,DispatchingRule
20,10,20,13,200,J20_O10_M20_I13,998,0.017543099995236844,success,DispatchingRule
20,10,20,14,200,J20_O10_M20_I14,1039,0.018791099995723926,success,DispatchingRule
20,10,20,15,200,J20_O10_M20_I15,1041,0.018211600006907247,success,DispatchingRule
20,10,20,16,200,J20_O10_M20_I16,1074,0.015085200007888488,success,DispatchingRule
20,10,20,17,200,J20_O10_M20_I17,974,0.019807500008028,success,DispatchingRule
20,10,20,18,200,J20_O10_M20_I18,1024,0.01664629999140743,success,DispatchingRule
20,10,20,19,200,J20_O10_M20_I19,1052,0.0178367999906186,success,DispatchingRule
20,10,20,20,200,J20_O10_M20_I20,1243,0.014842699994915165,success,DispatchingRule
20,10,20,21,200,J20_O10_M20_I21,1017,0.02068640000652522,success,DispatchingRule
20,10,20,22,200,J20_O10_M20_I22,1056,0.02066170000762213,success,DispatchingRule
20,10,20,23,200,J20_O10_M20_I23,1089,0.014530400003422983,success,DispatchingRule
20,10,20,24,200,J20_O10_M20_I24,995,0.013374200003454462,success,DispatchingRule
20,10,20,25,200,J20_O10_M20_I25,1083,0.01312409999081865,success,DispatchingRule
20,10,20,26,200,J20_O10_M20_I26,1041,0.017336100005195476,success,DispatchingRule
20,10,20,27,200,J20_O10_M20_I27,1164,0.015323200001148507,success,DispatchingRule
20,10,20,28,200,J20_O10_M20_I28,1041,0.014323900002636947,success,DispatchingRule
20,10,20,29,200,J20_O10_M20_I29,972,0.020121699999435805,success,DispatchingRule
20,15,5,0,300,J20_O15_M5_I0,3593,0.027491000000736676,success,DispatchingRule
20,15,5,1,300,J20_O15_M5_I1,3602,0.028253099997527897,success,DispatchingRule
20,15,5,2,300,J20_O15_M5_I2,3678,0.03285669999604579,success,DispatchingRule
20,15,5,3,300,J20_O15_M5_I3,3525,0.02574490000552032,success,DispatchingRule
20,15,5,4,300,J20_O15_M5_I4,3294,0.023838199995225295,success,DispatchingRule
20,15,5,5,300,J20_O15_M5_I5,3654,0.023710299996309914,success,DispatchingRule
20,15,5,6,300,J20_O15_M5_I6,4143,0.02553270000498742,success,DispatchingRule
20,15,5,7,300,J20_O15_M5_I7,3369,0.02512160000333097,success,DispatchingRule
20,15,5,8,300,J20_O15_M5_I8,3888,0.03248619999794755,success,DispatchingRule
20,15,5,9,300,J20_O15_M5_I9,3570,0.025407900000573136,success,DispatchingRule
20,15,5,10,300,J20_O15_M5_I10,3321,0.02385149999463465,success,DispatchingRule
20,15,5,11,300,J20_O15_M5_I11,3715,0.027210400003241375,success,DispatchingRule
20,15,5,12,300,J20_O15_M5_I12,3825,0.024585000006482005,success,DispatchingRule
20,15,5,13,300,J20_O15_M5_I13,3295,0.026006799991591834,success,DispatchingRule
20,15,5,14,300,J20_O15_M5_I14,3512,0.02368650000425987,success,DispatchingRule
20,15,5,15,300,J20_O15_M5_I15,3507,0.026249700007610954,success,DispatchingRule
20,15,5,16,300,J20_O15_M5_I16,3611,0.023984500003280118,success,DispatchingRule
20,15,5,17,300,J20_O15_M5_I17,3545,0.024476399994455278,success,DispatchingRule
20,15,5,18,300,J20_O15_M5_I18,3635,0.033051000005798414,success,DispatchingRule
20,15,5,19,300,J20_O15_M5_I19,3714,0.029717299999902025,success,DispatchingRule
20,15,5,20,300,J20_O15_M5_I20,3608,0.026732300000730902,success,DispatchingRule
20,15,5,21,300,J20_O15_M5_I21,3633,0.023986000000149943,success,DispatchingRule
20,15,5,22,300,J20_O15_M5_I22,3354,0.02206050000677351,success,DispatchingRule
20,15,5,23,300,J20_O15_M5_I23,3610,0.025494800007436424,success,DispatchingRule
20,15,5,24,300,J20_O15_M5_I24,3779,0.031183799990685657,success,DispatchingRule
20,15,5,25,300,J20_O15_M5_I25,3981,0.029090700001688674,success,DispatchingRule
20,15,5,26,300,J20_O15_M5_I26,3662,0.024657299989485182,success,DispatchingRule
20,15,5,27,300,J20_O15_M5_I27,3373,0.021531999998842366,success,DispatchingRule
20,15,5,28,300,J20_O15_M5_I28,3579,0.03351419999671634,success,DispatchingRule
20,15,5,29,300,J20_O15_M5_I29,3426,0.03235780000977684,success,DispatchingRule
20,15,10,0,300,J20_O15_M10_I0,2244,0.0254170999978669,success,DispatchingRule
20,15,10,1,300,J20_O15_M10_I1,2124,0.03179190000810195,success,DispatchingRule
20,15,10,2,300,J20_O15_M10_I2,2309,0.02494819999265019,success,DispatchingRule
20,15,10,3,300,J20_O15_M10_I3,2152,0.024723499998799525,success,DispatchingRule
20,15,10,4,300,J20_O15_M10_I4,2130,0.026047599996672943,success,DispatchingRule
20,15,10,5,300,J20_O15_M10_I5,2526,0.022877199997310527,success,DispatchingRule
20,15,10,6,300,J20_O15_M10_I6,2632,0.022742299988749437,success,DispatchingRule
20,15,10,7,300,J20_O15_M10_I7,2212,0.022757099999580532,success,DispatchingRule
20,15,10,8,300,J20_O15_M10_I8,2212,0.028343999991193414,success,DispatchingRule
20,15,10,9,300,J20_O15_M10_I9,2374,0.02358579999417998,success,DispatchingRule
20,15,10,10,300,J20_O15_M10_I10,2156,0.027389499999117106,success,DispatchingRule
20,15,10,11,300,J20_O15_M10_I11,2525,0.02243510000698734,success,DispatchingRule
20,15,10,12,300,J20_O15_M10_I12,2266,0.022799999991548248,success,DispatchingRule
20,15,10,13,300,J20_O15_M10_I13,2185,0.025122899998677894,success,DispatchingRule
20,15,10,14,300,J20_O15_M10_I14,2330,0.03143639999325387,success,DispatchingRule
20,15,10,15,300,J20_O15_M10_I15,2190,0.023649199996725656,success,DispatchingRule
20,15,10,16,300,J20_O15_M10_I16,2230,0.024082100004306994,success,DispatchingRule
20,15,10,17,300,J20_O15_M10_I17,2097,0.02555269999720622,success,DispatchingRule
20,15,10,18,300,J20_O15_M10_I18,2223,0.026559899997664616,success,DispatchingRule
20,15,10,19,300,J20_O15_M10_I19,2187,0.030221199995139614,success,DispatchingRule
20,15,10,20,300,J20_O15_M10_I20,2148,0.03162999999767635,success,DispatchingRule
20,15,10,21,300,J20_O15_M10_I21,2154,0.0288052000105381,success,DispatchingRule
20,15,10,22,300,J20_O15_M10_I22,2163,0.02647120000619907,success,DispatchingRule
20,15,10,23,300,J20_O15_M10_I23,2415,0.032005800007027574,success,DispatchingRule
20,15,10,24,300,J20_O15_M10_I24,2313,0.026007100008428097,success,DispatchingRule
20,15,10,25,300,J20_O15_M10_I25,2234,0.029176800002460368,success,DispatchingRule
20,15,10,26,300,J20_O15_M10_I26,2373,0.02441739999630954,success,DispatchingRule
20,15,10,27,300,J20_O15_M10_I27,2298,0.02308709999488201,success,DispatchingRule
20,15,10,28,300,J20_O15_M10_I28,2128,0.03281299999798648,success,DispatchingRule
20,15,10,29,300,J20_O15_M10_I29,2326,0.029634400008944795,success,DispatchingRule
20,15,20,0,300,J20_O15_M20_I0,1522,0.029443899999023415,success,DispatchingRule
20,15,20,1,300,J20_O15_M20_I1,1463,0.023675899996305816,success,DispatchingRule
20,15,20,2,300,J20_O15_M20_I2,1430,0.024545400010538287,success,DispatchingRule
20,15,20,3,300,J20_O15_M20_I3,1558,0.023627699993085116,success,DispatchingRule
20,15,20,4,300,J20_O15_M20_I4,1303,0.033145699999295175,success,DispatchingRule
20,15,20,5,300,J20_O15_M20_I5,1482,0.029073999990941957,success,DispatchingRule
20,15,20,6,300,J20_O15_M20_I6,1416,0.03220139999757521,success,DispatchingRule
20,15,20,7,300,J20_O15_M20_I7,1546,0.028035499999532476,success,DispatchingRule
20,15,20,8,300,J20_O15_M20_I8,1639,0.029436800003168173,success,DispatchingRule
20,15,20,9,300,J20_O15_M20_I9,1502,0.0348773000005167,success,DispatchingRule
20,15,20,10,300,J20_O15_M20_I10,1481,0.02317590000166092,success,DispatchingRule
20,15,20,11,300,J20_O15_M20_I11,1681,0.024437300002318807,success,DispatchingRule
20,15,20,12,300,J20_O15_M20_I12,1422,0.03246589998889249,success,DispatchingRule
20,15,20,13,300,J20_O15_M20_I13,1434,0.024750500000664033,success,DispatchingRule
20,15,20,14,300,J20_O15_M20_I14,1430,0.025148800006718375,success,DispatchingRule
20,15,20,15,300,J20_O15_M20_I15,1435,0.022168499999679625,success,DispatchingRule
20,15,20,16,300,J20_O15_M20_I16,1579,0.029990100010763854,success,DispatchingRule
20,15,20,17,300,J20_O15_M20_I17,1474,0.027029499993659556,success,DispatchingRule
20,15,20,18,300,J20_O15_M20_I18,1432,0.03305440000258386,success,DispatchingRule
20,15,20,19,300,J20_O15_M20_I19,1515,0.032816899998579174,success,DispatchingRule
20,15,20,20,300,J20_O15_M20_I20,1534,0.022509200003696606,success,DispatchingRule
20,15,20,21,300,J20_O15_M20_I21,1577,0.0281305000098655,success,DispatchingRule
20,15,20,22,300,J20_O15_M20_I22,1484,0.025693600007798523,success,DispatchingRule
20,15,20,23,300,J20_O15_M20_I23,1359,0.02333740000904072,success,DispatchingRule
20,15,20,24,300,J20_O15_M20_I24,1514,0.02382630000647623,success,DispatchingRule
20,15,20,25,300,J20_O15_M20_I25,1664,0.03015749999030959,success,DispatchingRule
20,15,20,26,300,J20_O15_M20_I26,1550,0.027558600006159395,success,DispatchingRule
20,15,20,27,300,J20_O15_M20_I27,1424,0.0363084999989951,success,DispatchingRule
20,15,20,28,300,J20_O15_M20_I28,1619,0.025148800006718375,success,DispatchingRule
20,15,20,29,300,J20_O15_M20_I29,1546,0.027956000005360693,success,DispatchingRule
20,20,5,0,400,J20_O20_M5_I0,5109,0.039451299991924316,success,DispatchingRule
20,20,5,1,400,J20_O20_M5_I1,4610,0.034699199997703545,success,DispatchingRule
20,20,5,2,400,J20_O20_M5_I2,4483,0.03996900000493042,success,DispatchingRule
20,20,5,3,400,J20_O20_M5_I3,4562,0.04646279998996761,success,DispatchingRule
20,20,5,4,400,J20_O20_M5_I4,4404,0.03687119999085553,success,DispatchingRule
20,20,5,5,400,J20_O20_M5_I5,4791,0.034529500000644475,success,DispatchingRule
20,20,5,6,400,J20_O20_M5_I6,4579,0.034527199997683056,success,DispatchingRule
20,20,5,7,400,J20_O20_M5_I7,4702,0.03944649999903049,success,DispatchingRule
20,20,5,8,400,J20_O20_M5_I8,4564,0.044071000011172146,success,DispatchingRule
20,20,5,9,400,J20_O20_M5_I9,4837,0.03949569999531377,success,DispatchingRule
20,20,5,10,400,J20_O20_M5_I10,4535,0.045414300009724684,success,DispatchingRule
20,20,5,11,400,J20_O20_M5_I11,4694,0.035860599993611686,success,DispatchingRule
20,20,5,12,400,J20_O20_M5_I12,4726,0.04104570001072716,success,DispatchingRule
20,20,5,13,400,J20_O20_M5_I13,4628,0.03576319999410771,success,DispatchingRule
20,20,5,14,400,J20_O20_M5_I14,4611,0.042456199997104704,success,DispatchingRule
20,20,5,15,400,J20_O20_M5_I15,5234,0.03965220000827685,success,DispatchingRule
20,20,5,16,400,J20_O20_M5_I16,4496,0.03946459999133367,success,DispatchingRule
20,20,5,17,400,J20_O20_M5_I17,4468,0.03730140000698157,success,DispatchingRule
20,20,5,18,400,J20_O20_M5_I18,4843,0.035965800008852966,success,DispatchingRule
20,20,5,19,400,J20_O20_M5_I19,4607,0.039671399994404055,success,DispatchingRule
20,20,5,20,400,J20_O20_M5_I20,5173,0.04173810000065714,success,DispatchingRule
20,20,5,21,400,J20_O20_M5_I21,4567,0.03723109999555163,success,DispatchingRule
20,20,5,22,400,J20_O20_M5_I22,4869,0.03693649999331683,success,DispatchingRule
20,20,5,23,400,J20_O20_M5_I23,4571,0.04861279999022372,success,DispatchingRule
20,20,5,24,400,J20_O20_M5_I24,5048,0.041887400002451614,success,DispatchingRule
20,20,5,25,400,J20_O20_M5_I25,5369,0.03312380000716075,success,DispatchingRule
20,20,5,26,400,J20_O20_M5_I26,5341,0.03638219999265857,success,DispatchingRule
20,20,5,27,400,J20_O20_M5_I27,4864,0.042935299992677756,success,DispatchingRule
20,20,5,28,400,J20_O20_M5_I28,5039,0.035882399999536574,success,DispatchingRule
20,20,5,29,400,J20_O20_M5_I29,4823,0.047252700009266846,success,DispatchingRule
20,20,10,0,400,J20_O20_M10_I0,2794,0.034766500000841916,success,DispatchingRule
20,20,10,1,400,J20_O20_M10_I1,2928,0.04368889999750536,success,DispatchingRule
20,20,10,2,400,J20_O20_M10_I2,2949,0.03493160000653006,success,DispatchingRule
20,20,10,3,400,J20_O20_M10_I3,2830,0.04561699999612756,success,DispatchingRule
20,20,10,4,400,J20_O20_M10_I4,3006,0.037670699995942414,success,DispatchingRule
20,20,10,5,400,J20_O20_M10_I5,2616,0.038979699995252304,success,DispatchingRule
20,20,10,6,400,J20_O20_M10_I6,2849,0.0349077999999281,success,DispatchingRule
20,20,10,7,400,J20_O20_M10_I7,3056,0.0341033000004245,success,DispatchingRule
20,20,10,8,400,J20_O20_M10_I8,3131,0.043609700005617924,success,DispatchingRule
20,20,10,9,400,J20_O20_M10_I9,2658,0.034215799998492,success,DispatchingRule
20,20,10,10,400,J20_O20_M10_I10,2930,0.034474799991585314,success,DispatchingRule
20,20,10,11,400,J20_O20_M10_I11,2878,0.04282980000425596,success,DispatchingRule
20,20,10,12,400,J20_O20_M10_I12,2923,0.04037190000235569,success,DispatchingRule
20,20,10,13,400,J20_O20_M10_I13,2935,0.03933860000688583,success,DispatchingRule
20,20,10,14,400,J20_O20_M10_I14,2908,0.03620130001218058,success,DispatchingRule
20,20,10,15,400,J20_O20_M10_I15,3077,0.040805399999953806,success,DispatchingRule
20,20,10,16,400,J20_O20_M10_I16,2994,0.04344529999070801,success,DispatchingRule
20,20,10,17,400,J20_O20_M10_I17,2942,0.04600719999871217,success,DispatchingRule
20,20,10,18,400,J20_O20_M10_I18,2782,0.03575999999884516,success,DispatchingRule
20,20,10,19,400,J20_O20_M10_I19,2771,0.03841399999510031,success,DispatchingRule
20,20,10,20,400,J20_O20_M10_I20,2960,0.05040370000642724,success,DispatchingRule
20,20,10,21,400,J20_O20_M10_I21,2787,0.044008700002450496,success,DispatchingRule
20,20,10,22,400,J20_O20_M10_I22,2937,0.034577800004626624,success,DispatchingRule
20,20,10,23,400,J20_O20_M10_I23,3022,0.049118700000690296,success,DispatchingRule
20,20,10,24,400,J20_O20_M10_I24,2800,0.041816600001766346,success,DispatchingRule
