num_jobs,ops_per_job,num_machines,instance_id,total_operations,instance_name,makespan_random,time_random,status_random,makespan_schedulenet_spt,time_schedulenet_spt,status_schedulenet_spt,makespan_mwr,time_mwr,status_mwr,makespan_spt,time_spt,status_spt
5,5,5,14,25,J5_O5_M5_I14,590,0.026286200009053573,success,490,0.025620200001867488,success,497,0.0012522000033641234,success,551,0.0009375999943586066,success
5,5,5,15,25,J5_O5_M5_I15,694,0.020651600003475323,success,591,0.03447559999767691,success,420,0.0018809999892255291,success,499,0.0014389999996637926,success
5,5,5,16,25,J5_O5_M5_I16,634,0.020793999996385537,success,597,0.032764199990197085,success,561,0.0016685000009601936,success,504,0.0010277999972458929,success
5,5,5,17,25,J5_O5_M5_I17,497,0.02100149999023415,success,480,0.03476599999703467,success,497,0.0014493000053334981,success,458,0.001116100000217557,success
5,5,5,18,25,J5_O5_M5_I18,626,0.02115899999625981,success,668,0.027024299997719936,success,536,0.0014196999982232228,success,546,0.001033600012306124,success
5,5,5,19,25,J5_O5_M5_I19,605,0.023024800000712276,success,592,0.030888799999956973,success,438,0.0019889999966835603,success,436,0.0013392999971983954,success
5,5,5,20,25,J5_O5_M5_I20,563,0.0235709999979008,success,621,0.026748499993118457,success,462,0.0013103999954182655,success,490,0.001001000011456199,success
5,5,5,21,25,J5_O5_M5_I21,502,0.01940610000747256,success,635,0.02729909999470692,success,481,0.0013863999920431525,success,467,0.001142599998274818,success
5,5,5,22,25,J5_O5_M5_I22,549,0.02178900000581052,success,572,0.02606519999972079,success,516,0.0011892999900737777,success,505,0.000981999997748062,success
5,5,5,23,25,J5_O5_M5_I23,482,0.020540600002277642,success,659,0.0266362999973353,success,425,0.0017731999978423119,success,396,0.0009636000031605363,success
5,5,5,24,25,J5_O5_M5_I24,596,0.02286630000162404,success,591,0.02527820000250358,success,388,0.0013644999999087304,success,388,0.0011200000008102506,success
5,5,5,25,25,J5_O5_M5_I25,572,0.0208511999953771,success,464,0.032655299990437925,success,410,0.0014201000012690201,success,410,0.0013081000070087612,success
5,5,5,26,25,J5_O5_M5_I26,553,0.02108240000961814,success,640,0.025161199999274686,success,521,0.0014167999906931072,success,546,0.0013171000027796254,success
5,5,5,27,25,J5_O5_M5_I27,573,0.022093199993832968,success,602,0.02680200000759214,success,471,0.0013827999937348068,success,525,0.0010881999915000051,success
5,5,5,28,25,J5_O5_M5_I28,435,0.019163499993737787,success,647,0.024386200006119907,success,493,0.0014320000045699999,success,429,0.0011494000063976273,success
5,5,5,29,25,J5_O5_M5_I29,583,0.02290240000002086,success,716,0.02801500000350643,success,503,0.0014678000006824732,success,503,0.0011988000042038038,success
5,5,10,0,25,J5_O5_M10_I0,395,0.02235349999682512,success,436,0.03635329999087844,success,361,0.0012711000017588958,success,361,0.0010862000053748488,success
5,5,10,1,25,J5_O5_M10_I1,327,0.020612200009054504,success,434,0.03174829999625217,success,341,0.0016858000017236918,success,341,0.0013949999993201345,success
5,5,10,2,25,J5_O5_M10_I2,458,0.018987900009960867,success,502,0.02563090001058299,success,328,0.0013864999928046018,success,348,0.001086299991584383,success
5,5,10,3,25,J5_O5_M10_I3,661,0.018615300010424107,success,851,0.025696299999253824,success,578,0.0013383000041358173,success,569,0.0011028000008082017,success
5,5,10,4,25,J5_O5_M10_I4,517,0.019910899995011277,success,413,0.02621999999973923,success,394,0.0015635000017937273,success,425,0.0013267000031191856,success
5,5,10,5,25,J5_O5_M10_I5,371,0.020781700004590675,success,449,0.026298700002371334,success,341,0.001345600001513958,success,368,0.001071799997589551,success
5,5,10,6,25,J5_O5_M10_I6,386,0.017473699990659952,success,434,0.027078200000687502,success,386,0.0016765000036684796,success,386,0.0013231000048108399,success
5,5,10,7,25,J5_O5_M10_I7,520,0.022127300006104633,success,756,0.027759899996453896,success,402,0.0014055000065127388,success,539,0.001099800007068552,success
5,5,10,8,25,J5_O5_M10_I8,461,0.019810099998721853,success,499,0.02696430000651162,success,490,0.001334500004304573,success,439,0.0011903999984497204,success
5,5,10,9,25,J5_O5_M10_I9,370,0.019044700005906634,success,525,0.026408299992908724,success,356,0.001421599998138845,success,384,0.0011545000015757978,success
5,5,10,10,25,J5_O5_M10_I10,448,0.020631200008210726,success,416,0.028672200001892634,success,349,0.0016002999909687787,success,349,0.003225000007660128,success
